商品ID(buyma),商品URL(仕入先),サイズ(buyma),サイズ(仕入先),色情報(buyma)
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-mid-blue-90s-wash/prd/21434410?CTARef=Saved+Items+Image,W28-L30inch,W28in L30in - W71cm L76cm,mid blue 90's wash
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-mid-blue-90s-wash/prd/21434410?CTARef=Saved+Items+Image,W28-L32inch,W28in L32in - W71cm L81cm,mid blue 90's wash
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-mid-blue-90s-wash/prd/21434410?CTARef=Saved+Items+Image,W30-L30inch,W30in L30in - W76cm L76cm,mid blue 90's wash
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-mid-blue-90s-wash/prd/21434410?CTARef=Saved+Items+Image,W30-L32inch,W30in L32in - W76cm L81cm,mid blue 90's wash
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-mid-blue-90s-wash/prd/21434410?CTARef=Saved+Items+Image,W32-L30inch,W32in L30in - W81cm L76cm,mid blue 90's wash
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-mid-blue-90s-wash/prd/21434410?CTARef=Saved+Items+Image,W32-L32inch,W32in L32in - W81cm L81cm,mid blue 90's wash
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-mid-blue-90s-wash/prd/21434410?CTARef=Saved+Items+Image,W32-L34inch,W32in L34in - W81cm L86cm,mid blue 90's wash
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-mid-blue-90s-wash/prd/21434410?CTARef=Saved+Items+Image,W34-L30inch,W34in L30in - W86cm L76cm,mid blue 90's wash
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-mid-blue-90s-wash/prd/21434410?CTARef=Saved+Items+Image,W34-L32inch,W34in L32in - W86cm L81cm,mid blue 90's wash
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-mid-blue-90s-wash/prd/21434410?CTARef=Saved+Items+Image,W34-L34inch,W34in L34in - W86cm L86cm,mid blue 90's wash
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-mid-blue-90s-wash/prd/21434410?CTARef=Saved+Items+Image,W36-L30inch,W36in L30in - W91cm L76cm,mid blue 90's wash
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-mid-blue-90s-wash/prd/21434410?CTARef=Saved+Items+Image,W36-L32inch,W36in L32in - W91cm L81cm,mid blue 90's wash
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-mid-blue-90s-wash/prd/21434410?CTARef=Saved+Items+Image,W36-L34inch,W36in L34in - W91cm L86cm,mid blue 90's wash
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-mid-blue-90s-wash/prd/21434410?CTARef=Saved+Items+Image,W38-L30inch,W38in L30in - W97cm L76cm,mid blue 90's wash
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-mid-blue-90s-wash/prd/21434410?CTARef=Saved+Items+Image,W38-L32inch,W38in L32in - W97cm L81cm,mid blue 90's wash
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-mid-blue-90s-wash/prd/21434410?CTARef=Saved+Items+Image,W38-L34inch,W38in L34in - W97cm L86cm,mid blue 90's wash
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-dirty-mid-blue-wash/prd/20726324?CTARef=Saved+Items+Image,W28-L30inch,W28in L30in,mid wash vintage
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-dirty-mid-blue-wash/prd/20726324?CTARef=Saved+Items+Image,W28-L32inch,W28in L32in,mid wash vintage
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-dirty-mid-blue-wash/prd/20726324?CTARef=Saved+Items+Image,W30-L30inch,W30in L30in,mid wash vintage
0062129588,https://www.asos.com/asos-design/asos-design-baggy-jeans-in-dirty-mid-blue-wash/prd/20726324?CTARef=Saved+Items+Image,W30-L32inch,W30in L32in,mid wash vintage
